key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,str_end.started,str_end.stopped,key_end.keys,key_end.rt,key_end.started,key_end.stopped,time_expEnd,Study Code,Participant ID,Researcher Name,Task Version Number,Research Visit Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,9.400013368576765e-06,35.00689999997849,None,37.0009489999502,None,space,5.273707300017122,37.0009489999502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.336494599992875,None,space,23.745365300041158,42.336494599992875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
Q,GOSTAVA,q,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1314031999791,None,q,5.799474400002509,66.1314031999791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
O,NÃO GOSTAVA,o,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.97727229999145,None,o,4.420377400005236,71.97727229999145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.42320359998848,None,space,5.499092699959874,76.42320359998848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Amável,positive,1,q,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9585434999899,None,83.9781613999512,84.48997159994906,84.47308629995678,84.97347029997036,49.000799800036475,o,0,0.9876045000273734,84.47308629995678,None,52.96926420001546,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Pessimista,negative,1,o,,,,,0,0,0,0,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9566353999544,88.45650609995937,88.43960769998375,88.93990979995579,52.96971570001915,o,1,1.0282525999937207,88.43960769998375,None,56.95401290000882,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Bisbilhoteiro,negative,1,o,,,,,0,0,0,0,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.93970759998774,92.439949099964,92.42300919996342,92.9229424999794,56.95471790002193,o,1,0.7535850999993272,92.42300919996342,91.93970759998774,60.93823259999044,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Anti-social,negative,1,o,,,,,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.92323839996243,96.4230835000053,96.40635569998994,96.90660429996205,60.93887499999255,o,1,0.6320499000139534,96.40635569998994,95.92323839996243,64.9212031000061,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Interessante,positive,1,q,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90639379998902,100.40633369999705,100.38948949996848,100.88950369996019,64.92178740003146,q,1,0.5972611999604851,100.38948949996848,99.90639379998902,68.903827800008,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insatisfeito,negative,1,o,,,,,0,0,0,0,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.88952009996865,104.38964660000056,104.37293429998681,104.87297919997945,68.90443990001222,o,1,0.6153314000112005,104.37293429998681,103.88952009996865,72.88706690003164,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Insultuoso,negative,1,o,,,,,0,0,0,0,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.87282089999644,108.37295960000483,108.35612429998582,108.85634769999888,72.88762190000853,o,1,0.6015879000187851,108.35612429998582,107.87282089999644,76.87038129998837,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Indelicado,negative,1,o,,,,,0,0,0,0,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.85610239999369,112.35612069995841,112.33949369995389,112.83956059999764,76.871059600031,q,0,0.5085971000371501,112.33949369995389,111.85610239999369,80.85395790002076,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Mente fechada,negative,1,o,,,,,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.83938419999322,116.33957529999316,116.32266189996153,116.82285649998812,80.85452360002091,o,1,0.8912045999895781,116.32266189996153,115.83938419999322,84.837639400037,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Decisivo,positive,1,q,,,,,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8227752999519,120.32271959999343,120.30599169997731,120.80611169995973,84.83827080001356,q,1,0.6398829000536352,120.30599169997731,119.8227752999519,88.82026820001192,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradecido,positive,1,q,,,,,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.80609849997563,124.30617609998444,124.28930649999529,124.78964579995954,88.82077869999921,q,1,0.6607445999979973,124.28930649999529,123.80609849997563,92.80432769999607,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sem vida,negative,1,o,,,,,0,0,0,0,0,11,11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.78946749999886,128.28935929998988,128.27226060000248,128.77264489996014,92.80486710002879,o,1,0.6376718999817967,128.27226060000248,127.78946749999886,96.78694359998917,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Relaxado,positive,1,q,,,,,0,0,0,0,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.77246269996976,132.2726074999664,132.2558735999628,132.7561255999608,96.78742950002197,q,1,0.6039246000000276,132.2558735999628,131.77246269996976,100.77070930000627,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Desonesto,negative,1,o,,,,,0,0,0,0,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.75608279998414,136.255933599954,136.239231799962,136.73949419998098,100.77133010001853,o,1,0.8328985000262037,136.239231799962,135.75608279998414,104.75343799998518,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Engenhoso,positive,1,q,,,,,0,0,0,0,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.73907749995124,140.23928629996954,140.22241809999105,140.72252109996043,104.75396310002543,q,1,0.7139692999771796,140.22241809999105,139.73907749995124,108.73818290000781,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Lúcido,positive,1,q,,,,,0,0,0,0,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.72242329997243,144.22244389995467,144.20569989999058,144.70574219996342,108.73900080000749,q,1,0.6088538999902084,144.20569989999058,143.72242329997243,112.71878950000973,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradável,positive,1,q,,,,,0,0,0,0,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.70609039999545,148.20583869999973,148.18902249995153,148.68925199995283,112.71917310002027,q,1,0.5023619999992661,148.18902249995153,147.70609039999545,116.70382090000203,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Compreensivo,positive,1,q,,,,,0,0,0,0,0,17,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.689361799974,152.18890159996226,152.1720019999775,152.6724521999713,116.7043418000103,q,1,0.5306281000375748,152.1720019999775,151.689361799974,120.68633510003565,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Rude,negative,1,o,,,,,0,0,0,0,0,18,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.67245069995988,156.1725833999808,156.15572359994985,156.65599219995784,120.68689479999011,o,1,0.5635900999768637,156.15572359994985,155.67245069995988,124.66983070003334,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sociável,positive,1,q,,,,,0,0,0,0,0,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.6557319999556,160.1556481999578,160.13890560000436,160.63897259999067,124.67036109999754,q,1,0.6125480000046082,160.13890560000436,159.6557319999556,128.65289550001035,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.6447314999532,None,space,6.272404800052755,163.6447314999532,None,128.6671795999864,134.95577090000734,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Esbanjador,negative,2,o,,,,,0,1,1,1,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.9386194999679,None,171.9671909000026,172.47252229996957,172.45533659996,172.95547439996153,136.9912679999834,o,1,0.8135594999766909,172.45533659996,None,140.96869509998942,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Alegre,positive,2,q,,,,,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.95556459994987,176.45570960000623,176.4385956999613,176.93865319999168,140.96919979999075,q,1,0.4321159000392072,176.4385956999613,None,144.95415090001188,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Tolerante,positive,2,q,,,,,0,1,1,1,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.93852189998142,180.43876289995387,180.4218850999605,180.92237319995183,144.9549074000097,q,1,0.5474546999903396,180.4218850999605,179.93852189998142,148.9366808999912,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Neurótico,negative,2,o,,,,,0,1,1,1,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.92217259999597,184.42209499998717,184.40522679995047,184.9053516999702,148.93713059998117,o,1,0.5971280999947339,184.40522679995047,183.92217259999597,152.91997889999766,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Negligente,negative,2,o,,,,,0,1,1,1,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.9051555999904,188.4055185999605,188.38857619999908,188.88849069998832,152.92073620000156,None,0,,188.38857619999908,187.9051555999904,156.9028276000172,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Falso ,negative,2,o,,,,,0,1,1,1,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.8887178999721,192.38858189998427,192.37169409997296,192.87209149997216,156.9033374999999,o,1,0.5841092999908142,192.37169409997296,191.8887178999721,160.88643479999155,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Feliz,positive,2,q,,,,,0,1,1,1,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.87148039997555,196.3719591999543,196.3553025999572,196.85539819998667,160.88710210000863,q,1,0.7805961999692954,196.3553025999572,195.87148039997555,164.8700317000039,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Intrometido,negative,2,o,,,,,0,1,1,1,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.8556329999701,200.35528999997769,200.33846409997204,200.83862939995015,164.8706502999994,o,1,0.8770218000281602,200.33846409997204,199.8556329999701,168.8532323000254,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Desagradável,negative,2,o,,,,,0,1,1,1,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.8385280999937,204.33855489996495,204.32168539997656,204.82164229999762,168.85369980003452,o,1,1.0940525999758393,204.32168539997656,203.8385280999937,172.83619200001704,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Charmoso,positive,2,q,,,,,0,1,1,1,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.8216699999757,208.32162569998764,208.3050760999904,208.8053655999829,172.83661619998747,q,1,0.8493283999850973,208.3050760999904,207.8216699999757,176.81904099998064,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Organizado,positive,2,q,,,,,0,1,1,1,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.8050783999497,212.30520899995463,212.28823879995616,212.78850379999494,176.81945970002562,q,1,0.6713401000015438,212.28823879995616,211.8050783999497,180.80243769998197,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Agradável,positive,2,q,,,,,0,1,1,1,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.78835559997242,216.28841709997505,216.27167159999954,216.7717030000058,180.80305620003492,q,1,0.597423399973195,216.27167159999954,215.78835559997242,184.78719860001002,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Irritado,negative,2,o,,,,,0,1,1,1,0,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.77148509997642,220.27149650000501,220.2549682999961,220.7554176999838,184.78768800001126,o,1,0.6731965999933891,220.2549682999961,219.77148509997642,188.7711933000246,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Crítico,negative,2,o,,,,,0,1,1,1,0,13,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.7549630999565,224.2548901999835,224.23818799998844,224.73866799997631,188.7720227999962,q,0,0.7319963000481948,224.23818799998844,223.7549630999565,192.75300959998276,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Rígido,negative,2,o,,,,,0,1,1,1,0,14,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.7383220999618,228.23806959996,228.22144399996614,228.7215589999687,192.75367679999908,o,1,0.6010448999586515,228.22144399996614,227.7383220999618,196.73611789999995,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Abusivo,negative,2,o,,,,,0,1,1,1,0,15,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.72131639998406,232.22147819999373,232.20473779999884,232.7051453999593,196.7367147000041,o,1,0.7321915000211447,232.20473779999884,231.72131639998406,200.71892770001432,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Realista,positive,2,q,,,,,0,1,1,1,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.70485919999192,236.20469250000315,236.18794969998999,236.68809309997596,200.71939909999492,q,1,0.5665835000108927,236.18794969998999,235.70485919999192,204.70221800002037,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Equilibrado,positive,2,q,,,,,0,1,1,1,0,17,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.68817360000685,240.18809599999804,240.1709820999531,240.6714490999584,204.7026627000305,q,1,0.6708817000035197,240.1709820999531,239.68817360000685,208.686044400034,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Perspicaz,positive,2,q,,,,,0,1,1,1,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.67129189998377,244.17128629999934,244.15459629998077,244.65505089994986,208.68656440003542,q,1,0.7932214000029489,244.15459629998077,243.67129189998377,212.66895610000938,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,Culto,positive,2,q,,,,,0,1,1,1,0,19,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.65463159995852,248.1540784999961,248.13752999994904,248.63800119998632,212.66951340000378,q,1,0.6059066000161693,248.13752999994904,247.65463159995852,216.65242900000885,,,,,,,,,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,stimControl/trialOrder_ver-1_block-2.xlsx,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.63776699994924,None,space,2.823404200025834,251.63776699994924,None,216.65266140003223,219.50498760002665,,,,,,,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.48765649995767,None,space,1.8493988999980502,254.48765649995767,None,,1,1,1,1,11,2024_Aug_06_0915,ECAT_140222,2021.2.3,59.968144937153895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.3703396000201,,,,,,,,,,
